endereco,bairro_cidade,preco,area,quartos,vagas
Avenida Pau Brasil," NORTE, AGUAS CLARAS",13.997832948091215,4.787491742782046,3.0,2.0
SQS 210," ASA SUL, BRASILIA",13.910821646859095,4.343805421853684,2.0,1.0
SQS 309," ASA SUL, BRASILIA",14.978661680269907,5.356586274672012,4.0,2.0
Rua 5," SUL, AGUAS CLARAS",14.070153551531353,4.875197323201151,3.0,2.0
Rua 4," SUL, AGUAS CLARAS",13.579789490265188,4.624972813284271,3.0,1.0
SQS 207," ASA SUL, BRASILIA",14.731801689838349,5.14166355650266,3.0,1.0
SQNW 102," NOROESTE, BRASILIA",14.53821702620254,4.844187086458591,3.0,2.0
Condomínio Resid Maxximo Garden," JARDIM BOTANICO, BRASILIA",14.862829903121964,6.284134161070802,5.0,3.0
Alameda das Acácias Quadra 107," NORTE, AGUAS CLARAS",14.328334783195153,5.1298987149230735,3.0,3.0
Rua 20," SUL, AGUAS CLARAS",13.68767832281738,4.948759890378168,3.0,2.0
SHIS QI 28," LAGO SUL, BRASILIA",15.06541258071152,6.3818160174060985,5.0,4.0
SQN 215," ASA NORTE, BRASILIA",14.285514812209815,4.844187086458591,3.0,1.0
SQNW 303," NOROESTE, BRASILIA",14.72376952136689,4.955827057601261,3.0,2.0
SQNW 102," NOROESTE, BRASILIA",14.603968372873895,4.8283137373023015,3.0,2.0
SQSW 105 Bloco A," SUDOESTE, BRASILIA",14.253766134056512,4.709530201312334,4.0,2.0
SQNW 309 Bloco B," NOROESTE, BRASILIA",14.030622744032508,4.442651256490317,2.0,2.0
SQN 203," ASA NORTE, BRASILIA",14.166168133802548,4.553876891600541,3.0,1.0
SQN 212," ASA NORTE, BRASILIA",14.375126917328105,4.875197323201151,3.0,2.0
Quadra 208," SUL, AGUAS CLARAS",13.639967177343745,4.477336814478207,2.0,2.0
SHIS QI 28," LAGO SUL, BRASILIA",15.38412668421143,6.436150368369428,5.0,4.0
CCSW 1," SUDOESTE, BRASILIA",14.975531788240602,5.501258210544727,4.0,3.0
SQNW 106," NOROESTE, BRASILIA",14.962913328262083,5.342334251964811,4.0,4.0
SHIN QI 5," LAGO NORTE, BRASILIA",14.897316067298997,6.269096283706261,4.0,2.0
SHIN QI 3," LAGO NORTE, BRASILIA",14.805052123325165,6.1070228877422545,4.0,4.0
SQN 402 Bloco I," ASA NORTE, BRASILIA",14.151983508870947,4.955827057601261,2.0,2.0
SQNW 302 Bloco A," NOROESTE, BRASILIA",14.093143052138025,4.2626798770413155,2.0,1.0
Avenida Parque Águas Claras," SUL, AGUAS CLARAS",13.244582780038517,4.276666119016055,3.0,1.0
Quadra 207," SUL, AGUAS CLARAS",14.36939624590319,5.017279836814924,3.0,3.0
